gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2015020483,"2015-12-19T20:35:08Z","2015-12-19T20:41:32Z","BUF",1,"CHI",2
2015020488,"2015-12-20T02:34:34Z","2015-12-20T02:42:50Z","CBJ",3,"PHI",1
2015020493,"2015-12-20T23:42:30Z","2015-12-20T23:49:43Z","FLA",8,"VAN",1
2015020494,"2015-12-21T00:36:19Z","2015-12-21T00:47:11Z","BOS",9,"NJD",2
2015020498,"2015-12-21T02:46:36Z","2015-12-21T02:49:09Z","CHI",3,"SJS",0
2015020508,"2015-12-23T02:41:53Z","2015-12-23T02:47:09Z","NYR",2,"ANA",0
2015020511,"2015-12-23T03:08:09Z","2015-12-23T03:15:05Z","FLA",2,"OTT",2
2015020521,"2015-12-27T03:39:36Z","2015-12-27T03:45:47Z","STL",2,"DAL",1
2015020524,"2015-12-27T04:43:23Z","2015-12-27T04:44:46Z","ARI",0,"LAK",1
2015020525,"2015-12-27T05:37:49Z","2015-12-27T05:43:11Z","VAN",2,"EDM",3
2015020532,"2015-12-28T03:44:02Z","2015-12-28T03:49:15Z","COL",3,"ARI",2
2015020536,"2015-12-29T03:26:01Z","2015-12-29T03:31:12Z","TBL",1,"MTL",2
2015020546,"2015-12-30T03:46:01Z","2015-12-30T03:52:03Z","STL",6,"NSH",0
2015020551,"2015-12-31T02:46:59Z","2015-12-31T02:55:14Z","PIT",4,"TOR",3
2015020560,"2016-01-01T03:31:24Z","2016-01-01T03:37:09Z","COL",3,"CHI",4
2015020566,"2016-01-02T05:26:01Z","2016-01-02T05:32:20Z","VAN",2,"ANA",0
2015020568,"2016-01-02T23:41:49Z","2016-01-02T23:49:18Z","EDM",3,"ARI",3
2015020571,"2016-01-03T02:45:16Z","2016-01-03T02:51:51Z","TBL",2,"MIN",2
2015020573,"2016-01-03T02:32:46Z","2016-01-03T02:38:05Z","NJD",4,"DAL",0
2015020575,"2016-01-03T02:40:08Z","2016-01-03T02:43:44Z","CAR",2,"NSH",1
2015020576,"2016-01-03T02:36:20Z","2016-01-03T02:51:25Z","CBJ",1,"WSH",6
2015020584,"2016-01-05T03:43:48Z","2016-01-05T03:47:18Z","STL",0,"OTT",1
2015020586,"2016-01-05T04:26:18Z","2016-01-05T04:31:39Z","EDM",5,"CAR",2
2015020592,"2016-01-06T02:29:58Z","2016-01-06T02:36:09Z","PIT",5,"CHI",5
2015020598,"2016-01-07T05:34:35Z","2016-01-07T05:42:36Z","COL",4,"STL",4
2015020603,"2016-01-08T03:37:09Z","2016-01-08T03:44:07Z","MIN",5,"PHI",4
2015020604,"2016-01-08T04:04:50Z","2016-01-08T04:14:50Z","DAL",2,"WPG",5
2015020613,"2016-01-09T05:49:19Z","2016-01-09T05:57:07Z","ANA",3,"STL",1
2015020614,"2016-01-09T20:39:53Z","2016-01-09T20:42:24Z","NYR",1,"WSH",1
2015020617,"2016-01-10T02:46:22Z","2016-01-10T02:52:47Z","OTT",6,"BOS",2
2015020618,"2016-01-10T02:38:31Z","2016-01-10T02:43:13Z","CBJ",1,"CAR",3
2015020622,"2016-01-10T05:41:14Z","2016-01-10T05:46:40Z","VAN",3,"TBL",3
2015020623,"2016-01-10T06:08:23Z","2016-01-10T06:15:12Z","LAK",2,"STL",3
2015020632,"2016-01-12T05:32:07Z","2016-01-12T05:36:36Z","VAN",1,"FLA",2
2015020635,"2016-01-13T02:24:44Z","2016-01-13T02:29:54Z","CAR",3,"PIT",0
2015020641,"2016-01-13T04:37:22Z","2016-01-13T04:46:47Z","ARI",3,"EDM",1
2015020650,"2016-01-15T03:45:33Z","2016-01-15T03:46:41Z","WPG",1,"NSH",0
2015020652,"2016-01-15T04:35:52Z","2016-01-15T04:39:49Z","ARI",2,"DET",1
2015020653,"2016-01-15T05:53:06Z","2016-01-15T06:02:02Z","SJS",4,"EDM",4
2015020656,"2016-01-16T02:32:50Z","2016-01-16T02:37:52Z","CAR",1,"VAN",4
2015020657,"2016-01-16T03:15:07Z","2016-01-16T03:20:45Z","TBL",2,"PIT",3
2015020660,"2016-01-16T20:36:46Z","2016-01-16T20:44:30Z","PHI",3,"NYR",2
2015020665,"2016-01-17T02:58:25Z","2016-01-17T03:02:42Z","STL",2,"MTL",1
2015020668,"2016-01-17T05:40:28Z","2016-01-17T05:49:07Z","EDM",0,"CGY",5
2015020669,"2016-01-17T06:14:32Z","2016-01-17T06:17:00Z","SJS",3,"DAL",1
2015020671,"2016-01-17T23:46:57Z","2016-01-17T23:52:47Z","NYI",2,"VAN",5
2015020675,"2016-01-18T03:07:44Z","2016-01-18T03:13:48Z","DET",3,"PHI",1
2015020681,"2016-01-19T06:07:34Z","2016-01-19T06:15:05Z","SJS",6,"OTT",1
2015020683,"2016-01-20T02:33:20Z","2016-01-20T02:38:00Z","NYR",3,"VAN",1
2015020697,"2016-01-22T03:00:12Z","2016-01-22T03:06:25Z","TOR",4,"CAR",3
2015020708,"2016-01-23T04:41:04Z","2016-01-23T04:49:54Z","COL",4,"STL",1
2015020711,"2016-01-24T02:37:31Z","2016-01-24T02:47:09Z","BOS",6,"CBJ",4
2015020712,"2016-01-24T02:56:22Z","2016-01-24T03:05:00Z","TOR",4,"MTL",3
2015020724,"2016-01-25T05:44:39Z","2016-01-25T05:49:58Z","SJS",2,"LAK",1
2015020730,"2016-01-26T04:13:21Z","2016-01-26T04:22:36Z","MIN",0,"ARI",1
2015020741,"2016-01-28T03:43:52Z","2016-01-28T03:47:22Z","WSH",0,"PHI",2
2015020744,"2016-02-03T02:41:41Z","2016-02-03T02:48:25Z","BOS",2,"TOR",3
2015020759,"2016-02-05T02:31:51Z","2016-02-05T02:42:17Z","BUF",5,"BOS",3
2015020762,"2016-02-05T03:26:14Z","2016-02-05T03:34:39Z","TOR",3,"NJD",2
2015020767,"2016-02-05T04:44:18Z","2016-02-05T04:45:12Z","COL",0,"DAL",1
2015020768,"2016-02-05T04:45:40Z","2016-02-05T04:53:20Z","ARI",3,"CHI",4
2015020769,"2016-02-05T05:28:35Z","2016-02-05T05:37:01Z","VAN",4,"CBJ",1
2015020775,"2016-02-06T20:29:21Z","2016-02-06T20:37:09Z","NJD",2,"WSH",2
2015020776,"2016-02-06T20:31:27Z","2016-02-06T20:38:23Z","PHI",0,"NYR",2
2015020779,"2016-02-07T02:42:26Z","2016-02-07T02:47:37Z","BOS",2,"BUF",1
2015020781,"2016-02-07T02:43:46Z","2016-02-07T02:47:27Z","FLA",0,"PIT",6
2015020788,"2016-02-07T22:02:30Z","2016-02-07T22:30:14Z","MTL",3,"CAR",1
2015020798,"2016-02-10T02:45:46Z","2016-02-10T02:52:08Z","CBJ",5,"NYI",7
2015020800,"2016-02-10T03:33:12Z","2016-02-10T03:39:16Z","STL",1,"WPG",4
2015020802,"2016-02-10T03:47:45Z","2016-02-10T03:50:50Z","MIN",1,"DAL",3
2015020811,"2016-02-12T02:28:40Z","2016-02-12T02:37:23Z","CBJ",5,"ANA",1
2015020817,"2016-02-12T06:17:00Z","2016-02-12T06:23:35Z","SJS",3,"CGY",2
2015020819,"2016-02-13T02:37:18Z","2016-02-13T02:42:40Z","NYR",3,"LAK",2
2015020820,"2016-02-13T02:26:15Z","2016-02-13T02:35:02Z","CAR",2,"PIT",4
2015020821,"2016-02-13T02:59:20Z","2016-02-13T03:08:13Z","DET",4,"COL",2
2015020822,"2016-02-13T03:09:15Z","2016-02-13T03:11:03Z","TBL",1,"NSH",0
2015020825,"2016-02-13T20:32:00Z","2016-02-13T20:38:41Z","PHI",1,"NJD",4
2015020832,"2016-02-14T04:10:16Z","2016-02-14T04:14:51Z","CHI",1,"ANA",3
2015020833,"2016-02-14T05:37:27Z","2016-02-14T05:47:37Z","EDM",1,"WPG",2
2015020842,"2016-02-16T03:08:45Z","2016-02-16T03:14:10Z","FLA",3,"PIT",4
2015020843,"2016-02-16T03:34:41Z","2016-02-16T03:39:20Z","NSH",0,"DAL",2
2015020850,"2016-02-17T02:41:54Z","2016-02-17T02:42:54Z","CBJ",1,"BOS",1
2015020851,"2016-02-17T03:05:03Z","2016-02-17T03:11:16Z","OTT",2,"BUF",4
2015020853,"2016-02-17T03:41:27Z","2016-02-17T03:45:30Z","STL",3,"DAL",0
2015020858,"2016-02-19T02:41:48Z","2016-02-19T02:51:41Z","NYI",1,"WSH",2
2015020862,"2016-02-19T03:12:17Z","2016-02-19T03:18:37Z","TBL",2,"WPG",4
2015020863,"2016-02-19T02:58:39Z","2016-02-19T03:07:16Z","FLA",2,"SJS",3
2015020864,"2016-02-19T03:46:59Z","2016-02-19T03:49:57Z","STL",2,"LAK",1
2015020872,"2016-02-20T03:14:42Z","2016-02-20T03:22:09Z","MTL",3,"PHI",3
2015020875,"2016-02-21T03:01:58Z","2016-02-21T03:03:37Z","TOR",0,"PHI",1
2015020876,"2016-02-21T02:44:35Z","2016-02-21T02:54:12Z","OTT",3,"DET",7
2015020879,"2016-02-21T03:44:19Z","2016-02-21T03:46:25Z","NSH",1,"LAK",1
2015020885,"2016-02-22T02:43:20Z","2016-02-22T02:46:26Z","NYR",2,"DET",2
2015020891,"2016-02-23T03:06:53Z","2016-02-23T03:16:19Z","MTL",2,"NSH",1
2015020896,"2016-02-24T02:59:48Z","2016-02-24T03:07:27Z","DET",3,"CBJ",5
2015020913,"2016-02-26T04:32:38Z","2016-02-26T04:41:05Z","CGY",2,"NYI",3
